"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Wyoming,2019,48,X,X,X,X,X,X
States,Puerto Rico,2019,48,0,0,0,0,0,0
States,Virgin Islands,2019,48,X,X,X,X,X,X
States,New York City,2019,48,X,X,X,X,X,X
States,Alabama,2019,49,979,23,81,10.62,2.35,8.27
States,Alaska,2019,49,19,0,1,5.26,0,5.26
States,Arizona,2019,49,526,3,63,12.55,0.57,11.98
States,Arkansas,2019,49,194,7,10,8.76,3.61,5.15
States,California,2019,49,3460,198,424,17.98,5.72,12.25
States,Colorado,2019,49,880,29,97,14.32,3.3,11.02
States,Connecticut,2019,49,857,19,12,3.62,2.22,1.4
States,Delaware,2019,49,362,12,32,12.15,3.31,8.84
States,District of Columbia,2019,49,X,X,X,X,X,X
States,Florida,2019,49,X,X,X,X,X,X
States,Georgia,2019,49,1855,100,169,14.5,5.39,9.11
States,Hawaii,2019,49,468,35,8,9.19,7.48,1.71
States,Idaho,2019,49,128,3,17,15.63,2.34,13.28
States,Illinois,2019,49,437,13,10,5.26,2.97,2.29
States,Indiana,2019,49,290,5,5,3.45,1.72,1.72
States,Iowa,2019,49,300,9,3,4,3,1
States,Kansas,2019,49,103,2,2,3.88,1.94,1.94
States,Kentucky,2019,49,884,53,11,7.24,6,1.24
States,Louisiana,2019,49,810,15,122,16.91,1.85,15.06
States,Maine,2019,49,68,0,1,1.47,0,1.47
States,Maryland,2019,49,320,11,22,10.31,3.44,6.88
States,Massachusetts,2019,49,941,30,31,6.48,3.19,3.29
States,Michigan,2019,49,2190,67,138,9.36,3.06,6.3
States,Minnesota,2019,49,409,15,8,5.62,3.67,1.96
States,Mississippi,2019,49,141,0,11,7.8,0,7.8
States,Missouri,2019,49,1730,29,80,6.3,1.68,4.62
States,Montana,2019,49,146,1,8,6.16,0.68,5.48
States,Nebraska,2019,49,193,27,6,17.1,13.99,3.11
States,Nevada,2019,49,X,X,X,X,X,X
States,New Hampshire,2019,49,X,X,X,X,X,X
States,New Jersey,2019,49,X,X,X,X,X,X
States,New Mexico,2019,49,496,28,34,12.5,5.65,6.85
States,New York,2019,49,2335,89,79,7.19,3.81,3.38
States,North Carolina,2019,49,454,29,20,10.79,6.39,4.41
States,North Dakota,2019,49,304,4,70,24.34,1.32,23.03
States,Ohio,2019,49,3097,59,142,6.49,1.91,4.59
States,Oklahoma,2019,49,388,3,19,5.67,0.77,4.9
States,Oregon,2019,49,2042,38,371,20.03,1.86,18.17
States,Pennsylvania,2019,49,497,3,21,4.83,0.6,4.23
States,Rhode Island,2019,49,X,X,X,X,X,X
States,South Carolina,2019,49,506,11,18,5.73,2.17,3.56
States,South Dakota,2019,49,74,0,0,0,0,0
States,Tennessee,2019,49,92,1,5,6.52,1.09,5.43
States,Texas,2019,49,5098,244,805,20.58,4.79,15.79
States,Utah,2019,49,856,43,54,11.33,5.02,6.31
States,Vermont,2019,49,143,6,3,6.29,4.2,2.1
States,Virginia,2019,49,521,6,26,6.14,1.15,4.99
States,Washington,2019,49,1644,26,182,12.65,1.58,11.07
States,West Virginia,2019,49,524,2,2,0.76,0.38,0.38
States,Wisconsin,2019,49,1790,22,106,7.15,1.23,5.92
States,Wyoming,2019,49,X,X,X,X,X,X
States,Puerto Rico,2019,49,0,0,0,0,0,0
States,Virgin Islands,2019,49,X,X,X,X,X,X
States,New York City,2019,49,X,X,X,X,X,X
States,Alabama,2019,50,985,48,74,12.39,4.87,7.51
States,Alaska,2019,50,11,1,2,27.27,9.09,18.18
States,Arizona,2019,50,558,5,50,9.86,0.9,8.96
States,Arkansas,2019,50,239,10,18,11.72,4.18,7.53
States,California,2019,50,3739,245,520,20.46,6.55,13.91
States,Colorado,2019,50,925,33,145,19.24,3.57,15.68
States,Connecticut,2019,50,950,36,15,5.37,3.79,1.58
States,Delaware,2019,50,425,7,29,8.47,1.65,6.82
States,District of Columbia,2019,50,X,X,X,X,X,X
States,Florida,2019,50,X,X,X,X,X,X
States,Georgia,2019,50,2594,294,347,24.71,11.33,13.38
States,Hawaii,2019,50,423,26,6,7.57,6.15,1.42
States,Idaho,2019,50,96,0,21,21.88,0,21.88
States,Illinois,2019,50,488,20,24,9.02,4.1,4.92
States,Indiana,2019,50,266,11,5,6.02,4.14,1.88
States,Iowa,2019,50,270,10,3,4.81,3.7,1.11
States,Kansas,2019,50,114,0,2,1.75,0,1.75
States,Kentucky,2019,50,951,81,34,12.09,8.52,3.58
States,Louisiana,2019,50,664,19,100,17.92,2.86,15.06
States,Maine,2019,50,64,4,3,10.94,6.25,4.69
States,Maryland,2019,50,327,22,31,16.21,6.73,9.48
States,Massachusetts,2019,50,965,35,50,8.81,3.63,5.18
States,Michigan,2019,50,2415,97,247,14.24,4.02,10.23
States,Minnesota,2019,50,460,20,17,8.04,4.35,3.7
States,Mississippi,2019,50,133,0,24,18.05,0,18.05
States,Missouri,2019,50,2276,62,265,14.37,2.72,11.64
States,Montana,2019,50,220,2,23,11.36,0.91,10.45
States,Nebraska,2019,50,222,58,18,34.23,26.13,8.11
States,Nevada,2019,50,43,3,6,20.93,6.98,13.95
States,New Hampshire,2019,50,X,X,X,X,X,X
States,New Jersey,2019,50,X,X,X,X,X,X
States,New Mexico,2019,50,X,X,X,X,X,X
States,New York,2019,50,2533,148,171,12.59,5.84,6.75
States,North Carolina,2019,50,402,43,29,17.91,10.7,7.21
States,North Dakota,2019,50,344,3,81,24.42,0.87,23.55
States,Ohio,2019,50,3317,80,281,10.88,2.41,8.47
States,Oklahoma,2019,50,446,7,55,13.9,1.57,12.33
States,Oregon,2019,50,2804,54,711,27.28,1.93,25.36
States,Pennsylvania,2019,50,595,18,29,7.9,3.03,4.87
States,Rhode Island,2019,50,X,X,X,X,X,X
States,South Carolina,2019,50,591,38,21,9.98,6.43,3.55
States,South Dakota,2019,50,73,0,1,1.37,0,1.37
States,Tennessee,2019,50,120,7,8,12.5,5.83,6.67
States,Texas,2019,50,4347,293,802,25.19,6.74,18.45
States,Utah,2019,50,968,35,79,11.78,3.62,8.16
States,Vermont,2019,50,106,8,0,7.55,7.55,0
States,Virginia,2019,50,528,4,34,7.2,0.76,6.44
States,Washington,2019,50,1887,53,328,20.19,2.81,17.38
States,West Virginia,2019,50,539,5,2,1.3,0.93,0.37
States,Wisconsin,2019,50,2056,51,222,13.28,2.48,10.8
States,Wyoming,2019,50,17,2,2,23.53,11.76,11.76
States,Puerto Rico,2019,50,0,0,0,0,0,0
States,Virgin Islands,2019,50,X,X,X,X,X,X
States,New York City,2019,50,X,X,X,X,X,X
States,Alabama,2019,51,1083,96,94,17.54,8.86,8.68
States,Alaska,2019,51,14,0,2,14.29,0,14.29
States,Arizona,2019,51,366,1,42,11.75,0.27,11.48
States,Arkansas,2019,51,X,X,X,X,X,X
States,California,2019,51,3885,418,771,30.6,10.76,19.85
States,Colorado,2019,51,1206,65,253,26.37,5.39,20.98
States,Connecticut,2019,51,1049,57,42,9.44,5.43,4
States,Delaware,2019,51,485,32,54,17.73,6.6,11.13
States,District of Columbia,2019,51,X,X,X,X,X,X
States,Florida,2019,51,X,X,X,X,X,X
States,Georgia,2019,51,3115,486,415,28.92,15.6,13.32
States,Hawaii,2019,51,476,45,3,10.08,9.45,0.63
States,Idaho,2019,51,127,1,24,19.69,0.79,18.9
States,Illinois,2019,51,572,40,56,16.78,6.99,9.79
States,Indiana,2019,51,457,58,11,15.1,12.69,2.41
States,Iowa,2019,51,314,17,18,11.15,5.41,5.73
States,Kansas,2019,51,114,4,6,8.77,3.51,5.26
States,Kentucky,2019,51,1065,152,65,20.38,14.27,6.1
States,Louisiana,2019,51,673,28,80,16.05,4.16,11.89
States,Maine,2019,51,78,6,2,10.26,7.69,2.56
States,Maryland,2019,51,321,29,45,23.05,9.03,14.02
States,Massachusetts,2019,51,1041,68,109,17,6.53,10.47
States,Michigan,2019,51,3061,192,513,23.03,6.27,16.76
States,Minnesota,2019,51,613,21,62,13.54,3.43,10.11
States,Mississippi,2019,51,176,0,44,25,0,25
States,Missouri,2019,51,2717,122,516,23.48,4.49,18.99
States,Montana,2019,51,247,7,32,15.79,2.83,12.96
States,Nebraska,2019,51,229,49,21,30.57,21.4,9.17
States,Nevada,2019,51,36,4,7,30.56,11.11,19.44
States,New Hampshire,2019,51,X,X,X,X,X,X
States,New Jersey,2019,51,X,X,X,X,X,X
States,New Mexico,2019,51,688,69,144,30.96,10.03,20.93
States,New York,2019,51,2947,208,217,14.42,7.06,7.36
States,North Carolina,2019,51,443,62,50,25.28,14,11.29
States,North Dakota,2019,51,492,10,130,28.46,2.03,26.42
States,Ohio,2019,51,4188,133,665,19.05,3.18,15.88
States,Oklahoma,2019,51,456,7,87,20.61,1.54,19.08
States,Oregon,2019,51,3722,101,1031,30.41,2.71,27.7
States,Pennsylvania,2019,51,821,32,71,12.55,3.9,8.65
States,Rhode Island,2019,51,X,X,X,X,X,X
States,South Carolina,2019,51,644,57,49,16.46,8.85,7.61
States,South Dakota,2019,51,83,1,0,1.2,1.2,0
States,Tennessee,2019,51,141,7,19,18.44,4.96,13.48
States,Texas,2019,51,6092,522,1521,33.54,8.57,24.97
States,Utah,2019,51,1193,88,134,18.61,7.38,11.23
States,Vermont,2019,51,123,4,2,4.88,3.25,1.63
States,Virginia,2019,51,587,19,79,16.7,3.24,13.46
States,Washington,2019,51,2384,66,479,22.86,2.77,20.09
States,West Virginia,2019,51,681,12,26,5.58,1.76,3.82
States,Wisconsin,2019,51,2548,113,380,19.35,4.43,14.91
States,Wyoming,2019,51,20,5,1,30,25,5
States,Puerto Rico,2019,51,0,0,0,0,0,0
States,Virgin Islands,2019,51,X,X,X,X,X,X
States,New York City,2019,51,X,X,X,X,X,X
States,Alabama,2019,52,1137,105,119,19.7,9.23,10.47
States,Alaska,2019,52,14,0,4,28.57,0,28.57
States,Arizona,2019,52,450,17,51,15.11,3.78,11.33
States,Arkansas,2019,52,367,43,64,29.16,11.72,17.44
States,California,2019,52,4042,427,600,25.41,10.56,14.84
States,Colorado,2019,52,1065,74,217,27.32,6.95,20.38
States,Connecticut,2019,52,1421,156,98,17.87,10.98,6.9
States,Delaware,2019,52,627,64,59,19.62,10.21,9.41
States,District of Columbia,2019,52,X,X,X,X,X,X
States,Florida,2019,52,X,X,X,X,X,X
States,Georgia,2019,52,3820,864,474,35.03,22.62,12.41
States,Hawaii,2019,52,537,46,14,11.17,8.57,2.61
States,Idaho,2019,52,144,4,29,22.92,2.78,20.14
States,Illinois,2019,52,731,68,106,23.8,9.3,14.5
States,Indiana,2019,52,515,82,53,26.21,15.92,10.29
States,Iowa,2019,52,365,23,49,19.73,6.3,13.42
States,Kansas,2019,52,129,5,5,7.75,3.88,3.88
States,Kentucky,2019,52,1494,259,140,26.71,17.34,9.37
States,Louisiana,2019,52,743,50,106,21,6.73,14.27
States,Maine,2019,52,122,17,2,15.57,13.93,1.64
States,Maryland,2019,52,500,35,92,25.4,7,18.4
States,Massachusetts,2019,52,1225,101,166,21.8,8.24,13.55
States,Michigan,2019,52,4052,309,875,29.22,7.63,21.59
States,Minnesota,2019,52,707,45,91,19.24,6.36,12.87
States,Mississippi,2019,52,203,6,45,25.12,2.96,22.17
States,Missouri,2019,52,3271,225,698,28.22,6.88,21.34
States,Montana,2019,52,311,16,67,26.69,5.14,21.54
States,Nebraska,2019,52,273,68,57,45.79,24.91,20.88
States,Nevada,2019,52,28,6,2,28.57,21.43,7.14
States,New Hampshire,2019,52,X,X,X,X,X,X
States,New Jersey,2019,52,X,X,X,X,X,X
States,New Mexico,2019,52,575,56,118,30.26,9.74,20.52
States,New York,2019,52,3022,327,389,23.69,10.82,12.87
States,North Carolina,2019,52,572,74,65,24.3,12.94,11.36
States,North Dakota,2019,52,480,39,126,34.38,8.13,26.25
States,Ohio,2019,52,5218,342,1209,29.72,6.55,23.17
States,Oklahoma,2019,52,625,18,163,28.96,2.88,26.08
States,Oregon,2019,52,4024,134,1129,31.39,3.33,28.06
States,Pennsylvania,2019,52,1209,68,260,27.13,5.62,21.51
States,Rhode Island,2019,52,X,X,X,X,X,X
States,South Carolina,2019,52,890,90,94,20.67,10.11,10.56
States,South Dakota,2019,52,66,2,2,6.06,3.03,3.03
States,Tennessee,2019,52,253,25,45,27.67,9.88,17.79
States,Texas,2019,52,6321,834,1667,39.57,13.19,26.37
States,Utah,2019,52,1690,165,270,25.74,9.76,15.98
States,Vermont,2019,52,190,8,10,9.47,4.21,5.26
States,Virginia,2019,52,581,31,66,16.7,5.34,11.36
States,Washington,2019,52,2539,75,467,21.35,2.95,18.39
States,West Virginia,2019,52,812,17,79,11.82,2.09,9.73
States,Wisconsin,2019,52,3152,182,500,21.64,5.77,15.86
States,Wyoming,2019,52,14,2,3,35.71,14.29,21.43
States,Puerto Rico,2019,52,0,0,0,0,0,0
States,Virgin Islands,2019,52,X,X,X,X,X,X
States,New York City,2019,52,X,X,X,X,X,X
States,Alabama,2020,1,1049,102,79,17.25,9.72,7.53
States,Alaska,2020,1,12,1,3,33.33,8.33,25
States,Arizona,2020,1,470,23,51,15.74,4.89,10.85
States,Arkansas,2020,1,366,31,42,19.95,8.47,11.48
States,California,2020,1,4396,580,606,26.98,13.19,13.79
States,Colorado,2020,1,1367,108,255,26.55,7.9,18.65
States,Connecticut,2020,1,1502,140,162,20.11,9.32,10.79
States,Delaware,2020,1,525,53,50,19.62,10.1,9.52
States,District of Columbia,2020,1,X,X,X,X,X,X
States,Florida,2020,1,X,X,X,X,X,X
States,Georgia,2020,1,2884,477,247,25.1,16.54,8.56
States,Hawaii,2020,1,557,58,14,12.93,10.41,2.51
States,Idaho,2020,1,133,4,19,17.29,3.01,14.29
States,Illinois,2020,1,806,69,108,21.96,8.56,13.4
States,Indiana,2020,1,369,35,29,17.34,9.49,7.86
States,Iowa,2020,1,379,24,62,22.69,6.33,16.36
States,Kansas,2020,1,169,11,10,12.43,6.51,5.92
States,Kentucky,2020,1,1437,172,99,18.86,11.97,6.89
States,Louisiana,2020,1,635,44,77,19.06,6.93,12.13
States,Maine,2020,1,112,12,5,15.18,10.71,4.46
States,Maryland,2020,1,635,70,96,26.14,11.02,15.12
States,Massachusetts,2020,1,1568,150,248,25.38,9.57,15.82
States,Michigan,2020,1,4441,265,838,24.84,5.97,18.87
States,Minnesota,2020,1,764,49,92,18.46,6.41,12.04
States,Mississippi,2020,1,194,6,28,17.53,3.09,14.43
States,Missouri,2020,1,3107,229,476,22.69,7.37,15.32
States,Montana,2020,1,304,29,62,29.93,9.54,20.39
States,Nebraska,2020,1,279,30,71,36.2,10.75,25.45
States,Nevada,2020,1,X,X,X,X,X,X
States,New Hampshire,2020,1,X,X,X,X,X,X
States,New Jersey,2020,1,X,X,X,X,X,X
States,New Mexico,2020,1,846,103,177,33.1,12.17,20.92
States,New York,2020,1,3795,378,477,22.53,9.96,12.57
States,North Carolina,2020,1,393,38,41,20.1,9.67,10.43
States,North Dakota,2020,1,453,42,80,26.93,9.27,17.66
States,Ohio,2020,1,5449,394,1035,26.22,7.23,18.99
States,Oklahoma,2020,1,579,17,122,24.01,2.94,21.07
States,Oregon,2020,1,4204,194,941,27,4.61,22.38
States,Pennsylvania,2020,1,1347,88,250,25.09,6.53,18.56
States,Rhode Island,2020,1,X,X,X,X,X,X
States,South Carolina,2020,1,868,72,77,17.17,8.29,8.87
States,South Dakota,2020,1,65,1,4,7.69,1.54,6.15
States,Tennessee,2020,1,203,16,25,20.2,7.88,12.32
States,Texas,2020,1,5499,599,1125,31.35,10.89,20.46
States,Utah,2020,1,1779,173,322,27.82,9.72,18.1
States,Vermont,2020,1,240,24,22,19.17,10,9.17
States,Virginia,2020,1,557,41,57,17.59,7.36,10.23
States,Washington,2020,1,2564,110,337,17.43,4.29,13.14
States,West Virginia,2020,1,938,23,79,10.87,2.45,8.42
States,Wisconsin,2020,1,3132,166,368,17.05,5.3,11.75
States,Wyoming,2020,1,18,2,1,16.67,11.11,5.56
States,Puerto Rico,2020,1,0,0,0,0,0,0
States,Virgin Islands,2020,1,X,X,X,X,X,X
States,New York City,2020,1,X,X,X,X,X,X
States,Alabama,2020,2,887,71,44,12.97,8,4.96
States,Alaska,2020,2,15,1,3,26.67,6.67,20
States,Arizona,2020,2,383,35,33,17.75,9.14,8.62
States,Arkansas,2020,2,357,43,56,27.73,12.04,15.69
States,California,2020,2,4833,736,602,27.68,15.23,12.46
States,Colorado,2020,2,1200,125,184,25.75,10.42,15.33
States,Connecticut,2020,2,1677,181,234,24.75,10.79,13.95
States,Delaware,2020,2,541,73,49,22.55,13.49,9.06
States,District of Columbia,2020,2,X,X,X,X,X,X
States,Florida,2020,2,X,X,X,X,X,X
States,Georgia,2020,2,2200,369,157,23.91,16.77,7.14
States,Hawaii,2020,2,607,60,17,12.69,9.88,2.8
States,Idaho,2020,2,117,5,14,16.24,4.27,11.97
States,Illinois,2020,2,784,66,101,21.3,8.42,12.88
States,Indiana,2020,2,360,25,28,14.72,6.94,7.78
States,Iowa,2020,2,351,16,55,20.23,4.56,15.67
States,Kansas,2020,2,168,16,5,12.5,9.52,2.98
States,Kentucky,2020,2,1102,102,74,15.97,9.26,6.72
States,Louisiana,2020,2,579,59,23,14.16,10.19,3.97
States,Maine,2020,2,109,8,4,11.01,7.34,3.67
States,Maryland,2020,2,576,63,102,28.65,10.94,17.71
States,Massachusetts,2020,2,1805,200,332,29.47,11.08,18.39
States,Michigan,2020,2,3795,264,611,23.06,6.96,16.1
States,Minnesota,2020,2,750,35,60,12.67,4.67,8
States,Mississippi,2020,2,161,11,20,19.25,6.83,12.42
States,Missouri,2020,2,2758,221,394,22.3,8.01,14.29
States,Montana,2020,2,344,30,40,20.35,8.72,11.63
States,Nebraska,2020,2,212,10,48,27.36,4.72,22.64
States,Nevada,2020,2,57,17,6,40.35,29.82,10.53
States,New Hampshire,2020,2,X,X,X,X,X,X
States,New Jersey,2020,2,X,X,X,X,X,X
States,New Mexico,2020,2,488,119,153,55.74,24.39,31.35
States,New York,2020,2,3828,424,417,21.97,11.08,10.89
States,North Carolina,2020,2,371,55,40,25.61,14.82,10.78
States,North Dakota,2020,2,481,43,91,27.86,8.94,18.92
States,Ohio,2020,2,4920,434,852,26.14,8.82,17.32
States,Oklahoma,2020,2,519,24,94,22.74,4.62,18.11
States,Oregon,2020,2,3396,179,624,23.65,5.27,18.37
States,Pennsylvania,2020,2,1203,103,200,25.19,8.56,16.63
States,Rhode Island,2020,2,X,X,X,X,X,X
States,South Carolina,2020,2,722,59,48,14.82,8.17,6.65
States,South Dakota,2020,2,85,2,2,4.71,2.35,2.35
States,Tennessee,2020,2,165,19,8,16.36,11.52,4.85
States,Texas,2020,2,5077,728,834,30.77,14.34,16.43
States,Utah,2020,2,1728,197,254,26.1,11.4,14.7
States,Vermont,2020,2,227,11,19,13.22,4.85,8.37
States,Virginia,2020,2,593,39,56,16.02,6.58,9.44
States,Washington,2020,2,2433,151,273,17.43,6.21,11.22
States,West Virginia,2020,2,828,25,57,9.9,3.02,6.88
States,Wisconsin,2020,2,3450,247,403,18.84,7.16,11.68
States,Wyoming,2020,2,30,3,6,30,10,20
States,Puerto Rico,2020,2,0,0,0,0,0,0
States,Virgin Islands,2020,2,X,X,X,X,X,X
States,New York City,2020,2,X,X,X,X,X,X
States,Alabama,2020,3,834,86,36,14.63,10.31,4.32
States,Alaska,2020,3,22,1,2,13.64,4.55,9.09
States,Arizona,2020,3,503,50,45,18.89,9.94,8.95
States,Arkansas,2020,3,443,75,87,36.57,16.93,19.64
States,California,2020,3,5378,1043,666,31.78,19.39,12.38
States,Colorado,2020,3,1359,189,197,28.4,13.91,14.5
States,Connecticut,2020,3,1767,201,336,30.39,11.38,19.02
States,Delaware,2020,3,546,83,39,22.34,15.2,7.14
States,District of Columbia,2020,3,X,X,X,X,X,X
States,Florida,2020,3,X,X,X,X,X,X
States,Georgia,2020,3,2134,390,101,23.01,18.28,4.73
States,Hawaii,2020,3,546,56,20,13.92,10.26,3.66
States,Idaho,2020,3,99,2,7,9.09,2.02,7.07
States,Illinois,2020,3,774,84,121,26.49,10.85,15.63
States,Indiana,2020,3,359,28,26,15.04,7.8,7.24
States,Iowa,2020,3,323,27,47,22.91,8.36,14.55
States,Kansas,2020,3,149,12,12,16.11,8.05,8.05
States,Kentucky,2020,3,888,80,58,15.54,9.01,6.53
States,Louisiana,2020,3,585,79,26,17.95,13.5,4.44
States,Maine,2020,3,124,12,15,21.77,9.68,12.1
States,Maryland,2020,3,592,77,86,27.53,13.01,14.53
States,Massachusetts,2020,3,1965,249,418,33.94,12.67,21.27
States,Michigan,2020,3,3417,387,553,27.51,11.33,16.18
States,Minnesota,2020,3,612,46,64,17.97,7.52,10.46
States,Mississippi,2020,3,157,8,18,16.56,5.1,11.46
States,Missouri,2020,3,2807,228,493,25.69,8.12,17.56
States,Montana,2020,3,324,30,30,18.52,9.26,9.26
States,Nebraska,2020,3,184,10,47,30.98,5.43,25.54
States,Nevada,2020,3,X,X,X,X,X,X
States,New Hampshire,2020,3,X,X,X,X,X,X
States,New Jersey,2020,3,X,X,X,X,X,X
States,New Mexico,2020,3,864,117,151,31.02,13.54,17.48
States,New York,2020,3,3805,501,406,23.84,13.17,10.67
States,North Carolina,2020,3,359,45,30,20.89,12.53,8.36
States,North Dakota,2020,3,510,64,105,33.14,12.55,20.59
States,Ohio,2020,3,4891,594,894,30.42,12.14,18.28
States,Oklahoma,2020,3,456,33,79,24.56,7.24,17.32
States,Oregon,2020,3,3016,226,402,20.82,7.49,13.33
States,Pennsylvania,2020,3,1088,130,204,30.7,11.95,18.75
States,Rhode Island,2020,3,X,X,X,X,X,X
States,South Carolina,2020,3,622,64,61,20.1,10.29,9.81
States,South Dakota,2020,3,79,2,2,5.06,2.53,2.53
States,Tennessee,2020,3,107,9,2,10.28,8.41,1.87
States,Texas,2020,3,5291,1072,728,34.02,20.26,13.76
States,Utah,2020,3,1780,273,312,32.87,15.34,17.53
States,Vermont,2020,3,167,29,28,34.13,17.37,16.77
States,Virginia,2020,3,564,52,48,17.73,9.22,8.51
States,Washington,2020,3,2141,169,186,16.58,7.89,8.69
States,West Virginia,2020,3,923,50,94,15.6,5.42,10.18
States,Wisconsin,2020,3,3450,338,497,24.2,9.8,14.41
States,Wyoming,2020,3,71,21,11,45.07,29.58,15.49
States,Puerto Rico,2020,3,0,0,0,0,0,0
States,Virgin Islands,2020,3,X,X,X,X,X,X
States,New York City,2020,3,X,X,X,X,X,X
States,Alabama,2020,4,891,105,40,16.27,11.78,4.49
States,Alaska,2020,4,10,1,2,30,10,20
States,Arizona,2020,4,464,57,41,21.12,12.28,8.84
States,Arkansas,2020,4,429,57,83,32.63,13.29,19.35
States,California,2020,4,5835,1254,640,32.46,21.49,10.97
States,Colorado,2020,4,1435,244,202,31.08,17,14.08
States,Connecticut,2020,4,2026,221,483,34.75,10.91,23.84
States,Delaware,2020,4,616,114,43,25.49,18.51,6.98
States,District of Columbia,2020,4,X,X,X,X,X,X
States,Florida,2020,4,X,X,X,X,X,X
States,Georgia,2020,4,2093,375,121,23.7,17.92,5.78
States,Hawaii,2020,4,609,77,29,17.41,12.64,4.76
States,Idaho,2020,4,115,7,6,11.3,6.09,5.22
States,Illinois,2020,4,931,113,170,30.4,12.14,18.26
States,Indiana,2020,4,349,21,39,17.19,6.02,11.17
States,Iowa,2020,4,366,31,74,28.69,8.47,20.22
States,Kansas,2020,4,149,9,12,14.09,6.04,8.05
States,Kentucky,2020,4,981,70,87,16,7.14,8.87
States,Louisiana,2020,4,629,129,20,23.69,20.51,3.18
States,Maine,2020,4,173,21,22,24.86,12.14,12.72
States,Maryland,2020,4,569,78,106,32.34,13.71,18.63
States,Massachusetts,2020,4,2114,274,549,38.93,12.96,25.97
States,Michigan,2020,4,3573,497,623,31.35,13.91,17.44
States,Minnesota,2020,4,689,54,81,19.59,7.84,11.76
States,Mississippi,2020,4,151,17,10,17.88,11.26,6.62
States,Missouri,2020,4,2930,416,527,32.18,14.2,17.99
States,Montana,2020,4,394,56,55,28.17,14.21,13.96
States,Nebraska,2020,4,140,4,41,32.14,2.86,29.29
States,Nevada,2020,4,65,34,7,63.08,52.31,10.77
States,New Hampshire,2020,4,X,X,X,X,X,X
States,New Jersey,2020,4,X,X,X,X,X,X
States,New Mexico,2020,4,872,121,99,25.23,13.88,11.35
States,New York,2020,4,3789,543,444,26.05,14.33,11.72
States,North Carolina,2020,4,342,43,31,21.64,12.57,9.06
States,North Dakota,2020,4,584,87,98,31.68,14.9,16.78
States,Ohio,2020,4,4437,646,748,31.42,14.56,16.86
States,Oklahoma,2020,4,443,32,54,19.41,7.22,12.19
States,Oregon,2020,4,2991,318,384,23.47,10.63,12.84
States,Pennsylvania,2020,4,1216,141,222,29.85,11.6,18.26
States,Rhode Island,2020,4,X,X,X,X,X,X
States,South Carolina,2020,4,627,73,45,18.82,11.64,7.18
States,South Dakota,2020,4,74,1,2,4.05,1.35,2.7
States,Tennessee,2020,4,126,18,6,19.05,14.29,4.76
States,Texas,2020,4,5686,1281,551,32.22,22.53,9.69
States,Utah,2020,4,2045,330,338,32.67,16.14,16.53
States,Vermont,2020,4,350,30,60,25.71,8.57,17.14
States,Virginia,2020,4,529,55,64,22.5,10.4,12.1
States,Washington,2020,4,2293,260,174,18.93,11.34,7.59
States,West Virginia,2020,4,936,62,112,18.59,6.62,11.97
States,Wisconsin,2020,4,4144,469,761,29.68,11.32,18.36
States,Wyoming,2020,4,115,35,31,57.39,30.43,26.96
States,Puerto Rico,2020,4,0,0,0,0,0,0
States,Virgin Islands,2020,4,X,X,X,X,X,X
States,New York City,2020,4,X,X,X,X,X,X
States,Alabama,2020,5,1106,165,42,18.72,14.92,3.8
States,Alaska,2020,5,13,0,3,23.08,0,23.08
States,Arizona,2020,5,338,46,16,18.34,13.61,4.73
States,Arkansas,2020,5,613,119,167,46.66,19.41,27.24
States,California,2020,5,6118,1328,553,30.75,21.71,9.04
States,Colorado,2020,5,1472,271,158,29.14,18.41,10.73
States,Connecticut,2020,5,2199,231,566,36.24,10.5,25.74
States,Delaware,2020,5,656,146,42,28.66,22.26,6.4
States,District of Columbia,2020,5,X,X,X,X,X,X
States,Florida,2020,5,X,X,X,X,X,X
States,Georgia,2020,5,2233,425,129,24.81,19.03,5.78
States,Hawaii,2020,5,456,50,19,15.13,10.96,4.17
States,Idaho,2020,5,105,15,1,15.24,14.29,0.95
States,Illinois,2020,5,765,130,126,33.46,16.99,16.47
States,Indiana,2020,5,446,45,68,25.34,10.09,15.25
States,Iowa,2020,5,402,50,92,35.32,12.44,22.89
States,Kansas,2020,5,187,20,9,15.51,10.7,4.81
States,Kentucky,2020,5,1032,108,105,20.64,10.47,10.17
States,Louisiana,2020,5,770,180,30,27.27,23.38,3.9
States,Maine,2020,5,182,22,26,26.37,12.09,14.29
States,Maryland,2020,5,668,105,127,34.73,15.72,19.01
States,Massachusetts,2020,5,2467,427,569,40.37,17.31,23.06
States,Michigan,2020,5,3877,604,682,33.17,15.58,17.59
States,Minnesota,2020,5,647,85,52,21.17,13.14,8.04
States,Mississippi,2020,5,202,23,9,15.84,11.39,4.46
States,Missouri,2020,5,3266,577,571,35.15,17.67,17.48
States,Montana,2020,5,415,78,44,29.4,18.8,10.6
States,Nebraska,2020,5,203,15,45,29.56,7.39,22.17
States,Nevada,2020,5,61,22,2,39.34,36.07,3.28
States,New Hampshire,2020,5,X,X,X,X,X,X
States,New Jersey,2020,5,X,X,X,X,X,X
